name,condition,trending_price_type,trending_price_amount,price,shipping_cost,items_left,watching
"USB Streaming Podcast PC Microphone, SUDOTACK professional 96KHZ/24Bit Studio",Brand New,Was,67.49,$53.99,Free Shipping,Only 1 left!,5 Watching
Blue Microphones Yeti Professional USB Condenser Microphone - Midnight Blue,Pre-Owned,,,$78.00,Free Shipping,,17 Watching
Marantz Professional Pod Pack 1 USB Microphone Kit with Studio Monitor Headphone,Brand New,,,$59.95,Free Shipping,,
Professional USB Condenser Microphone Studio Sound Recording Mic W Stand tripod,Brand New,,,$7.99,Free Shipping,,
"Blue Yeti Blackout Professional Omnidirectional USB Microphone with Stand, Black",Brand New,,,$119.36,Free Shipping,,
Professional Home Studio Podcast Vocal Recording USB Condenser Microphone Kit,Brand New,List price,260.71,$134.40,,,
New ListingBlue Yeti Professional Multi-Pattern USB Microphone - Blackout,Pre-Owned,,,$65.00,,,
"Blue Microphones Yeti USB Professional Microphone Steel Red (BRAND NEW, SEALED)",Brand New,,,$99.95,Free Shipping,,5 Watching
Rode Podcaster Dynamic USB Professional Microphone - White Mic,Pre-Owned,,,$124.00,,,
Blue Microphones Yeti Professional USB Condenser Microphone - Silver 01/L409085B,Pre-Owned,,,$15.50,,,
CAD Audio U1 USB Dynamic Professional Podcast Studio Recording U-1 Microphone,Refurbished,,,$8.99,,Only 1 left!,
Blue Microphones Yeti Professional USB Condenser Microphone - Midnight Blue,Pre-Owned,,,$41.00,,,
Blue Yeti Professional Multi-Pattern USB Microphone in Silver - Works Great!,Pre-Owned,,,$16.00,,,
USB Microphone Thronmax Mdrill Dome Professional Usb Condenser Microphone ,Pre-Owned,,,$40.00,Free Shipping,,
PROFESSIONAL Audio Condenser Microphone Kit Vocal Studio Recording Set Stand USB,Brand New,,,$30.99,Free Shipping,,
Marantz Professional Pod Pack 1 USB Microphone with Broadcast Stand and Cable,Brand New,List price,74.99,$49.00,,,
New ListingBlue Yeti Blackout Professional Omni USB Mic w/ Stand Black CCE#66058-1A,Pre-Owned,,,$22.45,,,
TTHRONMAX MDRILL DOME Professional USB Studio Condenser Microphone for Chatting ,Brand New,,,$45.99,Free Shipping,,3 Watching
Professional Condenser USB Microphone w/Tripod Stand Studio Sound KTV Recording,Brand New,,,$22.99,Free Shipping,Only 1 left!,
